Course Title,Description
MDC 355.  Introduction to Public Relations.  3 Credits.,"An introduction to the role of the public relations practitioner in the formation of public opinion. Communications theory will be combined with specific techniques for working with the press, producing printed material, and conducting special events. Pre / Co requisites: MDC 355 requires prerequisites of MDC 250 and MDC 251 . Typically offered in Fall & Spring."
MDC 360.  African American Culture and Communication.  3 Credits.,"African American communication explores the ways messages, verbal and non-verbal, produce, maintain, transform and repair reality for Black community members over the media and in interpersonal contexts. As such, the course explores the significance of discursive identity construction in over the media and in human interaction. We aim to develop intercultural communication competency in this subject area. We accomplish this as we examine the ways in which Black/African American identities have been discursively and socially constructed, sustained, problematized, celebrated, and enacted in media, institutional, and societal settings. The dynamic process of acquiring, managing and executing the rhetorical qualities, patterns of thinking, values, assumptions, and concepts which constitute subjective culture are explored. Pre / Co requisites: MDC 360 requires prerequisites of MDC 250 and MDC 251 . Typically offered in Fall & Spring."
MDC 365.  The Science and Media Connection: Producing and Communicating Science.  3 Credits.,"This course is intended to prepare students to make multimedia products about fundamental scientific phenomena which can be used to educate and teach others. Through both theoretical and practical approaches, students learn skills and concepts that will enable them to complete a series of science-based creative projects and apply these skills toward future use. Pre / Co requisites: MDC 365 requires a prerequisite of 60 credits. Gen Ed Attribute: Speaking Emphasis. Typically offered in Fall & Spring. Cross listed courses ESS/ MDC 365 , COM/ ESS 565 ."
MDC 370.  Event Production Using Media.  3 Credits.,Producing a large event requires strategic leadership to coordinate multiple stakeholders to achieve concrete goals. The media play a variety of roles in this complex production process. This course considers application of theory and research to the practical problems of envisioning and executing events on a larger scale using a variety of mediated forms in different supporting roles. Students learn how to make a persuasive pitch about media use to different audiences. Pre / Co requisites: MDC 370 requires prerequisites of MDC 250 and MDC 251 . Gen Ed Attribute: Speaking Emphasis. Typically offered in Fall.
MDC 375.  Communicating Through Risk and Crisis.  3 Credits.,"Explores the challenges of risk and crisis communication before, during and after high profile events. The course emphasizes the practical and theoretical applications of media strategies used by companies, organizations, and governmental bodies before, during, and after crisis situations. The course focuses on the issues relevant to communicating risk through both new and traditional media strategies as well as planning and executing crisis communications and recovery plans. The course also introduces students to ethical accountability and informed decision making during crisis situations. Cases discussed will examine risk and crisis situations in business, political, educational and non-profit settings. Consent: Permission of the Department required to add. Gen Ed Attribute: Speaking Emphasis. Typically offered in Fall, Spring, Summer, Winter."
MDC 420.  Mass Media & Social Protest.  3 Credits.,"This course will address multi-disciplinary theory and research that has contributed to our understanding of both the antecedents and consequences of mediated messages as they affect processes related to social protest. This will include analyzing the ethical codes guiding journalists covering protest groups as well as the ethics guiding protesters and their actions. Readings will draw from mass communication, political science, sociology and other disciplines to examine questions about the role of communication media in the dynamics of social protest considering both traditional and new/emerging media. Pre / Co requisites: MDC 420 requires prerequisites of MDC 250 and MDC 251 . Gen Ed Attribute: Ethics Requirement. Typically offered in Spring."
MDC 421.  Content Strategy.  3 Credits.,"This course examines the relationship between communication and marketing on the internet, with emphasis on the strategic use of content in the marketing process. Topics include: online communication environments, audience analysis, message design, editorial plan, and the analysis of outcomes. Pre / Co requisites: MDC 421 requires prerequisites of SPK 208 , or MDC 250 and MDC 251 . Distance education offering may be available. Typically offered in Fall & Spring."
MDC 422.  Consulting for Careers in Media and Culture.  3 Credits.,"The goal of this course is to explore the links between abilities and perspectives refined by those who study organizational culture and the needs of modern organizations. In this course, students will explore the elements of organizational culture and apply their learning in conducting an in-depth analysis of a specific organization and with the goal of improving organizational effectiveness and creating positive organizational change. Pre / Co requisites: MDC 422 requires prerequisites of MDC 250 and MDC 251 . Typically offered in Fall & Spring."
MDC 423.  Media Campaigns.  3 Credits.,This course examines key theories of mass media influence and applies them to the practice of persuasive media campaigns. Pre / Co requisites: MDC 423 requires prerequisites of MDC 250 and MDC 251 . Typically offered in Fall & Spring.
MDC 455.  Public Relations Management.  3 Credits.,"This is an upper-level course designed for students who have completed the introduction to public relations courses and have a foundation in public relations and news analysis. The course builds on introductory principles from Introduction to Public Relations to provide students who are serious about a career in public relations with an opportunity to learn about strategic planning and implementation of public relations programs. This course explores the longer-term, management-oriented aspects of public relations, where practitioners conduct research, identify communications goals, develop overall strategy and use social science research methods to evaluate the effects of campaigns. Students use a case study approach, applying management theory to real public relations cases to identify tangible communication objectives, understand the values of key audiences, develop appropriate and effective message strategies, work with the media to distribute messages and develop appropriate research methods to determine the effectiveness of their campaigns. Pre / Co requisites: MDC 455 requires prerequisites of MDC 250 , MDC 251 , and MDC 355 . Typically offered in Fall."
MDC 460.  Communication and Advertising.  3 Credits.,"This course explores the relationship between communication and advertising. Topics covered include the interconnection among advertising, media, and a range of publics, as well as the process and history of advertising, message strategies, media planning, and campaign evaluation, ethical and regulatory issues. Pre / Co requisites: MDC 460 requires prerequisites of MDC 250 and MDC 251 . Typically offered in Fall & Spring."
MDC 470.  Intercultural Communication Training.  3 Credits.,"Intercultural training is an experiential activity that engages cognitive, behavioral and affective learning to help individuals to bridge cultural differences in their communication. This course teaches students the theory behind intercultural training for the workplace through the experience of workshops and through designing their own workshops. The use of media in training workshops is addressed explicitly using theory and experiential examples. Pre / Co requisites: MDC 470 requires prerequisites of MDC 250 and MDC 251 . Typically offered in Fall & Spring."
MDC 490.  Special Topics Seminar in Culture.  3 Credits.,"The mass media is a staple of modern-day society. We have interactions daily with media messages, both intentionally and unintentionally. Media researchers have been examining the impact of the mass media on individuals' thoughts, attitudes, and behaviors since the Industrial Era and continue to investigate the influence of newer technologies. This course will take an in-depth look at the critical and empirical research into the different discussions and theories on how the media affects people, both at an individual and societal level. Pre / Co requisites: MDC 490 requires prerequisites of MDC 250 and MDC 251 . Typically offered in Fall & Spring. Repeatable for Credit."
MDC 491.  Special Topics Seminar in Production.  3 Credits.,"This course serves as an intensive examination of a selected area of study in the field of media production. Specifically, the seminar will focus on the creation of short-form videos. Videos currently account for over half of all internet traffic, with the average length of videos decreasing each year. Online users are interested in short, professional-quality video content. We will examine the art of creating short video content through three sections. First, we will examine the history and production of short videos on social media. Second, we will study tips for creating short videos in an abbreviated time frame through the film race genre. Finally, we will apply knowledge to creating short videos for business settings. Pre / Co requisites: MDC 491 requires prerequisites of MDC 250 and MDC 251 . Typically offered in Fall & Spring. Repeatable for Credit."
MDC 492.  Special Topics Seminar in Strategic Communication.  3 Credits.,"This course serves as an intensive examination of a selected area of study in the field of strategic communication. Specifically, the seminar will provide an in-depth examination of audience behavior for public relations, social media, and content marketing specialists. Understanding audience behavior in a convergent media environment has never been more important or difficult to achieve. By focusing on research tools used to understand audience demographics and psychographic characteristics, incorporating these findings into strategic media campaigns, and utilizing communication research methods to monitor and evaluate results, students will be better prepared to enter the field of strategic communication. Pre / Co requisites: MDC 492 requires prerequisites of MDC 250 and MDC 251 . Typically offered in Fall & Spring. Repeatable for Credit."
MDC 493.  Directed Studies in Media and Culture.  1-3 Credits.,"Research, creative projects, reports, and readings in communication studies. Students must apply to advisors one semester in advance of registration. Pre / Co requisites: MDC 493 requires prerequisites of junior or senior status, a minimum GPA of 2.5, and MDC 250 , MDC 251 , MDC 252 , MDC 253 , MDC 254 , and MDC 255 . Consent: Permission of the Department required to add. Typically offered in Fall & Spring. Repeatable for Credit."
MDC 494.  Internship in Media and Culture.  1-12 Credits.,"The internship provides students the opportunity to gain vital hands-on work experience in the communication discipline that cannot come from classroom experience alone. The program is designed to provide students with exposure to professional opportunities related to the field, as well as helping them to build their resumes and begin developing a network of industry contacts. Credits earned vary based upon the amount of time spent on the job.  All internships must be approved by the Department's Internship Coordinator and must meet federal guidelines. Note: This course fulfills the requirement for an MDC major to complete an internship or practicum as part of the major. Pre / Co requisites: MDC 494 requires prerequisites of MDC 250 and MDC 251 ; one upper-level MDC course; the student must be a declared MDC major; and have a cumulative GPA of 2.8 or higher. Consent: Permission of the Department required to add. Typically offered in Fall, Spring & Summer. Repeatable for Credit."
MDC 495.  Media & Culture Capstone Practicum.  3 Credits.,"This practicum is a supervised, in-house internship, which allows students to apply the concepts and skills learned in MDC courses to professional settings. Under the supervision of the practicum director, students will work with clients including (but not limited to) local nonprofits, businesses, and campus entities such as campus media (The Quad, WCUR, and WCU Weekly). Pre / Co requisites: MDC 495 requires prerequisites of MDC 250 , MDC 251 , and at least 15 credits of MDC coursework completed. Consent: Permission of the Department required to add. Typically offered in Fall & Spring."
MGP 220.  Field Experience: Middle Level Environment.  3 Credits.,"The goal of this course is to connect educational theories and current ideas in education, to what is happening in the classroom, and to begin thinking about how to create a positive learning community for all learners. This course bridges theory, philosophy and real classroom experiences (field). Field clearances required. Pre / Co requisites: MGP 220 requires a prerequisite of EDP 201 . Gen Ed Attribute: Speaking Emphasis, Writing Emphasis. Typically offered in Fall, Spring & Summer."
MGP 335.  Teaching Social Studies in Middle Grades.  3 Credits.,"This course is a study of social studies teaching and student learning in grades 4-8, focusing on related curricula, instruction and assessment in these grades. National, state and local standards are utilized as frameworks to explore the context, purpose, content, and interdisciplinary nature of the social studies. Field clearances required. Pre / Co requisites: MGP 335 requires a prerequisite of MGP 220 , Teacher Candidacy, and field clearances. Gen Ed Attribute: Writing Emphasis. Typically offered in Fall & Spring."
MGP 400.  Classroom Management and Engagement for Grades 4-8.  2 Credits.,"This course offers a detailed investigation of the middle school teacher's role in classroom management that encourages student cooperation in the development of optimum learning environments. Development of knowledge and skills essential to plan for and facilitate high levels of achievement, cooperation, social competence, and supportive peer interactions in a dynamic classroom learning system will be explored. Pre / Co requisites: MGP 400 requires a prerequisite of Teacher Candidacy. Typically offered in Fall & Spring."
MGP 410.  Student Teaching.  6 Credits.,"A semester-long, full-time field experience. The student teacher assumes increasing responsibility in the classroom, as demonstrated by effective methods for the planning, delivering, and reflecting on instruction. Weekly seminars are required. Pre / Co requisites: MGP 410 requires prerequisites of Teacher Candidacy, field clearances, and all coursework required in the major. Gen Ed Attribute: Speaking Emphasis. Typically offered in Fall & Spring."
MGP 411.  Student Teaching.  6 Credits.,"A semester-long, full-time field experience. The student teacher assumes increasing responsibility in the classroom, as demonstrated by effective methods for the planning, delivering, and reflecting on instruction. Weekly seminars are required. Pre / Co requisites: MGP 411 requires prerequisites of Teacher Candidacy, field clearances, and all coursework required in the major. Gen Ed Attribute: Speaking Emphasis. Typically offered in Fall & Spring."
MGT 199.  Transfer Credits.  1-10 Credits.,Transfer Credits. Repeatable for Credit.
MGT 200.  Principles of Management.  3 Credits.,"Introduction to the principles and functions of management.  Examines the management process, organizational theory, planning, decision making, motivation, and leadership in supervisory contexts. Distance education offering may be available. Typically offered in Fall, Spring & Summer."
MGT 313.  Business and Society.  3 Credits.,"An analysis of the social, political, legal, environmental, and ethical problems faced by business firms. Pre / Co requisites: MGT 313 requires prerequisites of MGT 200 (majors only) and a minimum 2.50 cumulative GPA. Gen Ed Attribute: Ethics Requirement, Writing Emphasis. Distance education offering may be available. Typically offered in Fall, Spring & Summer."
MGT 321.  Organization Theory and Behavior.  3 Credits.,"Study of the theoretical foundations of organization and management. The system of roles and functional relationships. Practical application of the theory through case analysis. Pre / Co requisites: MGT 321 requires prerequisites of MGT 200 (Majors only) and minimum 2.50 CUM GPA. Distance education offering may be available. Typically offered in Fall, Spring & Summer."
MGT 341.  Production and Operations Management.  3 Credits.,"Operations management is one of the three primary functions of any organization, along with marketing and finance. It is responsible for the production of goods and services. All operations decisions are made within the context of all other business functions and the organization's external environment. This course is designed to introduce the students to the basic concepts, principles, and techniques of production and operations management; to provide a multifunctional perspective on operations decision-making; and to explore the strategic role of the operations function in the survival and success of organizations. Although this course is primarily quantitative in nature, qualitative aspects across various business functions will also be discussed. Pre / Co requisites: MGT 341 requires prerequisites of MAT 121 or MAT 125 or ECO 251 and MGT 200 and minimum CUM GPA of 2.50. Distance education offering may be available. Typically offered in Fall, Spring & Summer."
MGT 399.  Transfer Elective Upper Level.  1-10 Credits.,Transfer Elective Upper Level. Repeatable for Credit.
MGT 411.  Communicating Business Insights and Ethics in Big Data.  3 Credits.,"This course tackles two critical issues in the business analytics field. The first one deals with how to present information derived from data analysis effectively to distinct stakeholders in either a written or oral way. This skill, i.e., clearly translating analytical results to valuable business insights with visual aids, is highly sought after in the business world now. Specifically, students will learn how to generate visual displays through a chosen computer software, how to engage audiences with storytelling techniques, and how to apply basic design principles to generate reports for specific audiences. The second issue concerns an increasingly rising interest in how business can leverage insights from business analytics in an ethical way. We will discuss ethical issues rising from business operations of data collection, data management, and data presentation. This section will equip students with a stronger ethical mindset in this increasingly data-driven business world. Distance education offering may be available. Typically offered in Fall, Spring & Summer."
MGT 431.  Human Resource Management.  3 Credits.,"Study of the effective management of an organization's human resources.  Topics include recruitment, selection, compensation, performance appraisal, labor relations, and enforcement of equal employment opportunity laws. Pre / Co requisites: MGT 431 requires prerequisites of MGT 200 (Majors only) and 2.50 Minimum CUM GPA. Distance education offering may be available. Typically offered in Fall, Spring & Summer."
MGT 432.  Staffing & Development.  3 Credits.,"This course examines all aspects of talent acquisition and management in organizations, including workforce planning, staffing, training, career development and performance management. The importance of building an ethical culture that enhances employee engagement and organizational effectiveness is emphasized. Pre / Co requisites: MGT 432 requires a prerequisite of MGT 321 or MGT 431 , or department consent for non-business majors. Distance education offering may be available. Typically offered in Fall & Spring."
MGT 433.  Compensation Management.  3 Credits.,"This course examines the development and implementation of compensation systems in organizations. Topics covered include compensation philosophies; economic and social factors affecting compensations plans; pay surveys; pay equity; and specific types of financial and non-financial compensation and benefits. Pre / Co requisites: MGT 433 requires a prerequisite of MGT 321 or MGT 431 , or department consent for non-business majors. Distance education offering may be available. Typically offered in Fall & Spring."
MGT 434.  Human Resource Consulting.  3 Credits.,"This course offers applied experience through client-based or historic human resources management consulting projects. These projects will require an in-depth investigation of human resource issues in various industries, as well as an oral presentation and written professional report. Students will be assigned to teams to work on various human resources projects and present recommendations to interested parties, such as faculty, other students, and executives. Pre / Co requisites: MGT 434 requires prerequisites of MGT 321 , MGT 431 , or department consent. Cumulative GPA must be greater than 2.5. Distance education offering may be available. Typically offered in Fall & Spring."
MGT 435.  Negotiation.  3 Credits.,"Negotiation is an important life-long skill in a variety of business relationships. Every day managers negotiate with coworkers, suppliers, distributors, customers, the government, etc. Determining the salaries and compensation, who will do what assignment, the terms of a contract -- all of these are negotiations. Negotiation is the art and science of securing agreements and resolving disputes between two or more interdependent parties. As a manager, you not only need analytical skills to discover optimal solutions to problems (the science), but also good negotiation skills to get these solutions accepted and implemented (the art). The purpose of this course is to help students develop expertise in managing negotiations that occur in a variety of business settings, specifically focusing on the area of human resources. The learning method is experiential (i.e., a learn-by-doing approach). Students will prepare for and engage in a variety of negotiations exercises (individually, and as a team). Pre / Co requisites: MGT 435 requires a prerequisite of MGT 321 , MGT 431 , or department consent. Cumulative GPA must be greater than 2.5. Distance education offering may be available. Typically offered in Fall & Spring."
MGT 451.  Systems Management.  3 Credits.,Application of systems theory and principles to the operation of contemporary organizations with emphasis on nonquantitative methods of analysis. Pre / Co requisites: MGT 451 requires prerequisite of MGT 321 and minimum 2.50 CUM GPA.
MGT 471.  Introduction to Entrepreneurship.  3 Credits.,This course is designed to introduce students to the entrepreneurship process and the mindset of the entrepreneur. The course content addresses opportunities and challenges in the entrepreneurship process with a special emphasis on idea generation and opportunity recognition. It is a foundation course which provides an introduction to topics that students will apply in advanced entrepreneurship courses. Pre / Co requisites: MGT 471 requires a prerequisite of 60 completed credits. Distance education offering may be available. Typically offered in Fall & Spring.
MGT 472.  Entrepreneurship: Feasibility and Launch.  3 Credits.,"The focus of this course is testing the feasibility and writing a business plan for a new business launch. Students will learn about industry analysis, market research, funding, financial statement projections, management team and personnel, and marketing strategy. Students will test the feasibility of business ideas, select a feasible idea, develop a business plan and present it. Pre / Co requisites: MGT 472 requires a prerequisite of MGT 471 . Distance education offering may be available. Typically offered in Fall & Spring."
MGT 473.  Entrepreneurship: Startup and Growth.  3 Credits.,"This course is designed to address managing new and emerging growth companies. It addresses implementing the business plan across five functions of startups: accounting, finance, marketing, human resources, and operations. It also addresses management challenges commonly encountered at different stages in the life-cycle of new and emerging growth companies including start-up, growth, change of direction, and exit. Pre / Co requisites: MGT 473 requires a prerequisite of MGT 471 . Distance education offering may be available. Typically offered in Fall & Spring."
MGT 474.  Social Entrepreneurship.  3 Credits.,"This course introduces students to the concepts, principles, and frameworks of social entrepreneurship. Students examine the practice of identifying, starting, and growing successful mission-driven for-profit and nonprofit ventures, ventures that seek to advance social change through innovative solutions. Pre / Co requisites: MGT 474 requires a prerequisite of 60 credits. Distance education offering may be available. Typically offered in Fall, Spring & Summer."
MGT 475.  Entrepreneurship Internship.  2-6 Credits.,"This internship provides students with real-world experience working with a startup or small business to enrich their understanding of entrepreneurship. Students learn about the challenges and opportunities faced by startups and small businesses and gain hands-on entrepreneurship experience. Pre / Co requisites: MGT 475 requires a prerequisite of MGT 471 with a grade of C or better, an overall GPA of 2.5, and department permission. Consent: Permission of the Department required to add. Distance education offering may be available. Typically offered in Fall, Spring & Summer. Repeatable for Credit."
MGT 483.  Management Internship.  2-6 Credits.,"The management internship is designed to enhance students' education by providing a substantive work experience in business. Pre / Co requisites: MGT 483 requires a prerequisite of a minimum 2.50 cumulative GPA. Typically offered in Fall, Spring & Summer. Repeatable for Credit."
MGT 486.  Management Internship.  6 Credits.,The management internship is designed to enhance the student's educational experience by providing a substantive work experience in the business world. Pre / Co requisites: Minimum 2.50 CUM GPA. Consent: Permission of the Department required to add. Repeatable for Credit.
MGT 487.  Special Topics in Management.  3 Credits.,This course deals with current concepts in management not covered by existing courses. The course content is determined at the beginning of each semester. Pre / Co requisites: MGT 487 requires prerequisites of MGT 200 and minimum 2.50 CUM GPA. Typically offered in Fall & Spring. Repeatable for Credit.
MGT 488.  Independent Studies in Management.  1-3 Credits.,"Special research projects, reports, and readings in management. Pre / Co requisites: Minimum 2.50 CUM GPA. Repeatable for Credit."
MGT 498.  Seminar in Management.  3 Credits.,"This course engages students in reading, writing, discussion, and research on current topics in management. Pre / Co requisites: MGT 498 requires a minimum 2.50 cumulative GPA and a minimum of 90 credits completed. Gen Ed Attribute: Writing Emphasis. Distance education offering may be available. Typically offered in Fall & Spring."
MGT 499.  Business Policy and Strategy.  3 Credits.,"This School of Business capstone course requires all business majors to integrate and apply multidisciplinary knowledge and skills in actively formulating improved business strategies and plans. Case method predominates, presentations, and written reports are required. Pre / Co requisites: MGT 499 requires prerequisites of BLA 201 , FIN 325 , MGT 200 , and MKT 250 and a minimum 2.50 cumulative GPA. Gen Ed Attribute: Speaking Emphasis, Writing Emphasis. Distance education offering may be available. Typically offered in Fall, Spring, Summer, Winter."
MHL 121.  Music in Culture and History.  3 Credits.,"A course in appreciating music as an informed listener. Includes an introduction to the basic elements of musical style necessary for understanding music in its cultural and historical context, examination of the great European composers and their masterworks, and topics in popular music, jazz, and/or world music. Ability to read music is NOT expected. Gen Ed Attribute: Arts Distributive Requirement. Distance education offering may be available. Typically offered in Fall & Spring."
MHL 123.  Music in Film.  3 Credits.,"This course examines the role music plays in films. The first part of the course will focus on gaining a solid understanding of basic musical and cinematic elements. The second part of the course will examine a number of films and film scores in order to develop a historical understanding of cinema and music. This course will help you develop critical listening and viewing skills, and it also offers a film-music history survey and technological advances in cinema and sound. Gen Ed Attribute: Arts Distributive Requirement. Typically offered in Fall & Spring."
MHL 125.  Perspectives in Jazz.  3 Credits.,"Guided listening to improve understanding and enjoyment of jazz with emphasis on jazz heritages, chronological development, and sociological considerations, culminating in an analysis of the eclectic styles of the 1960s and 1970s. Not open to music majors. Gen Ed Attribute: Arts Distributive Requirement, Diversity Requirement. Typically offered in Fall & Spring."
MHL 127.  Sounds of Philadelphia and its Surroundings.  3 Credits.,"This course examines the rich musico-cultural life of Philadelphia and its surroundings. Through a focus on music history, students will study music, culture, politics, history and migration of the Philadelphia area. The topics and genre covered in the course would be broad and diverse in genre and styles of music. Distance education offering may be available. Typically offered in Fall & Spring. Repeatable for Credit."
MHL 179.  Special Subjects Seminar.  3 Credits.,Significant topics in music history and literature presented by faculty members and/or visiting lecturers. Designed for the nonmusic major who has had little or no previous musical experience. Not open to music majors. Typically offered in Fall & Spring. Repeatable for Credit.
"MHL 180.  Global Soundscapes: Music, History, and Society.  3 Credits.","This course examines musical practices and traditions from around the world and explores how music is interrelated with its historical, cultural and social contexts. It introduces students to academic disciplines that study music: music theory, music history, and ethnomusicology. We will gain a global perspective of music by learning about different musical styles and practices, and how cultures shape the creation, performance and consumption of music. The course will also investigate how certain groups of people and their music have been historically marginalized, and how structural inequalities have manifested in the education, performance, and dissemination of music. Students will particularly focus on groups who have been marginalized due to race, ethnicity, and/or immigrant status. By applying the theoretical framework of ethnomusicology, they will study the ways that music has functioned as a way to assert power and give voice to marginalized groups and suppressed issues. Gen Ed Attribute: Arts Distributive Requirement, Diversity Requirement. Typically offered in Fall & Spring."
MHL 199.  Transfer Credits.  1-10 Credits.,Transfer Credits. Repeatable for Credit.
MHL 201.  Form and Style in the Arts.  3 Credits.,"Relationships between the arts (music, literature, fine arts, and dance) stressed through common principles of form and style. Concentration on the development of skills of critical perception through practical application with reference to various arts. Gen Ed Attribute: Interdisciplinary Requirement. Typically offered in Fall & Spring."
MHL 210.  Music History I.  3 Credits.,"An introduction to musical style and listening techniques within a historical context: (1) an introduction to style periods, music listening skills, concepts of form, and style analysis in both Western and non-Western music; (2) historical survey of music beginning with the music of the early Church and continuing through the end of the 16th century. Ability to read and analyze music scores required. Gen Ed Attribute: Arts Distributive Requirement. Typically offered in Fall & Spring."
MHL 211.  Music History II.  3 Credits.,"A historical survey of music from 1600 to 1825. Analysis of appropriate genres, styles, forms, social contexts, aesthetics, and performance practices will be considered. Pre / Co requisites: MHL 211 requires a prerequisite of C- or better in MHL 210 . Gen Ed Attribute: Speaking Emphasis. Typically offered in Fall & Spring."
MHL 212.  Music History III.  3 Credits.,"A historical survey of music from 1825 to the present. Analysis of appropriate genre, styles, forms, social contexts, aesthetic concepts, and performance practices will be considered. Pre / Co requisites: MHL 212 requires prerequisites of MHL 211 with a C- or better. Gen Ed Attribute: Interdisciplinary Requirement. Typically offered in Fall & Spring."
MHL 280.  Western Art Music I.  3 Credits.,"A historical survey from 1600 to 1825. Analysis of appropriate genres, styles, forms, social contexts, aesthetics, and performance practices are considered. Pre / Co requisites: MHL 280 requires a prerequisite of C- or better in MHL 180 . Gen Ed Attribute: Speaking Emphasis. Typically offered in Fall & Spring."
MHL 301.  Music and the Related Arts.  3 Credits.,"Examines ways in which music parallels at least two other visual, performing, and/or verbal arts in Western and/or non-Western culture.  Concentration on the development of skills of critical perception through practical application to music and other arts. Pre / Co requisites: MHL 301 requires a prerequisite of MTC 212 and MHL 211 or permission of instructor. Gen Ed Attribute: Interdisciplinary Requirement, Writing Emphasis. Typically offered in Fall."
MHL 310.  Collegium Musicum.  1 Credit.,"A chamber ensemble specializing in the use of authentic instruments and performance techniques in the music of the Medieval, Renaissance, and Baroque eras. Membership by audition. Typically offered in Fall & Spring. Repeatable for Credit."
MHL 312.  Women in Music.  3 Credits.,A survey of the role that women played in the history of music from the Middle Ages to the present.  Open to nonmusic majors and music majors without prerequisites. Gen Ed Attribute: Arts Distributive Requirement. Typically offered in Spring.
MHL 325.  History of Rock.  3 Credits.,This course traces the development of 1950s rock and roll from its rhythm and blues and country and western sources through the world music influences of the 1970s and beyond. Gen Ed Attribute: Arts Distributive Requirement. Typically offered in Spring.
MHL 380.  Western Art Music II.  3 Credits.,"A historical survey of music from 1825 to the present. Analysis of appropriate genres, styles, forms, social contexts, aesthetic concepts, and performance practices are considered. Gen Ed Attribute: Writing Emphasis. Typically offered in Fall & Spring."
MHL 420.  World Music.  3 Credits.,"An introduction to the study of tribal, folk, popular, and oriental music and ethnomusicology methodology. Open to music majors and nonmusic majors without prerequisites. Typically offered in Spring."
MHL 422.  History of Jazz.  3 Credits.,"A survey of the history of jazz, including representative performers and their music. Pre / Co requisites: MHL 422 requires a prerequisite of MHL 212 . Typically offered in Fall."
MHL 440.  Medieval Music.  3 Credits.,"Development of plainsong and secular monody and beginnings of early history of polyphony through the 14th century.  Consideration of trends in the visual arts, history and literature."
MHL 454.  History of Opera.  3 Credits.,A basic course in the origin and development of opera and its dissemination throughout the Western world. Pre / Co requisites: MHL 454 requires a prerequisite of MHL 212 or MHL 380 . Gen Ed Attribute: Writing Emphasis. Typically offered in Spring.
MHL 455.  History of Orchestral Music.  3 Credits.,"In this course, students will examine the repertory of orchestral music from the mid-eighteenth century to the early twentieth century. The symphony will be the focus; other orchestral genres such as the symphonic poem and music drama will be considered when pertinent to the development of orchestral music. Students will focus on score study and listening in order to develop skills of musical and stylistic analysis with reference to orchestral music, emphasizing aspects such as instrumentation, orchestration, texture, and form to show the evolution of orchestral music into the twentieth century. Pre / Co requisites: MHL 455 requires a prerequisite of MHL 380 or MHL 212 . Gen Ed Attribute: Writing Emphasis. Typically offered in Fall."
MHL 459.  Topics in American Music.  3 Credits.,"Survey of the development of music and musical styles from 1620 to the present. Analysis of styles, forms, aesthetic concepts, and practices. Pre / Co requisites: MHL 459 requires a prerequisite of MHL 212 or MHL 380 . Gen Ed Attribute: Writing Emphasis. Typically offered in Fall & Spring."
MHL 479.  Topics in Music History I.  3 Credits.,Significant topics presented by faculty members and/or visiting lecturers. Designed to meet specific needs of undergraduate music majors. Repeatable for Credit.
MHL 480.  Topics in Music History II.  3 Credits.,Significant topics presented by faculty members and/or visiting lecturers. Designed to meet specific needs of undergraduate music majors. Repeatable for Credit.
MHL 481.  Independent Study.  1 Credit.,Contact department for more information about this course. Repeatable for Credit.
MHL 482.  Independent Study.  2 Credits.,Contact department for more information about this course. Repeatable for Credit.
MHL 483.  Independent Study.  3 Credits.,Contact department for more information about this course. Repeatable for Credit.
MHL 498.  Senior Project I.  3 Credits.,Research and writing for Music History Senior Project. Consent: Permission of the Department required to add.
MHL 499.  Senior Project II.  3 Credits.,Completion of research and writing for Music History Senior Project. Consent: Permission of the Department required to add.
MIP 310.  Musician Injury Prevention.  1 Credit.,This course investigates injury prevention and treatment for performing musicians. Typically offered in Spring.
MIS 199.  Transfer Credits.  1-11 Credits.,Transfer Credits. Repeatable for Credit.
MIS 300.  Introduction to Management Information Systems.  3 Credits.,A comprehensive introduction to the role of information systems in an organizational environment. This course focuses on transforming manual and automated data into useful information for managerial decision making. Pre / Co requisites: MIS 300 requires prerequisites of MGT 200 and minimum CUM GPA of 2.50. Distance education offering may be available. Typically offered in Fall & Spring.
MIS 301.  Introduction to Business's Software.  3 Credits.,"Building on the fundamentals of management information systems covered in MIS 300 , this course explores core concepts of online business processes and intelligence, including underlying principles and practical techniques enabled by information systems. Topics covered include: strategic roles of MIS, online business intelligence, online business process management, E-business, security, and many others. This course also explores how new information technology supports online business process management. New topics including the importance of big data analytics, as well as other technological advances such as 3-D printing, cloud computing, machine learning, artificial intelligence, the Internet of Things, and blockchain are also covered. Pre / Co requisites: MIS 301 requires a prerequisite of MIS 300 . Distance education offering may be available. Typically offered in Fall & Spring. Repeatable for Credit."
MIS 302.  Data Analytics.  3 Credits.,"This century may have been called ""The Century of Data"" because the amount of data created and collected is rapidly growing. Thus, businesses nowadays have strong needs to gather, store, and analyze these data to excel and achieve competitive advantage in their markets. Building on the fundamentals of management information systems covered in MIS 300 , this course explores core concepts of data analytics and its emerging roles in organizations. Topics covered include data acquisition, data processing, data visualizations, reporting and dashboards, forecasting, and machines learning. In addition, students will experience practical applications of analytics via exercises and case studies using user-friendly technologies that are underlying collection, storage, and processing of data. Pre / Co requisites: MIS 302 requires a prerequisite of MIS 300 , MGT 341 , or SCM 351 . Distance education offering may be available. Typically offered in Fall & Spring."
